Gene name	log2(TE)HELA
ENC1	-0.919268728
CENPV	-0.917469454
ZBTB1	-0.916448349
MBD2	-0.914316638
KDM4B	-0.913585248
TBC1D9B	-0.913538306
ACTR5	-0.912702596
SLC36A4	-0.909982454
ZMIZ2	-0.909858944
LRP10	-0.908970488
SRF	-0.90832315
R3HCC1	-0.906666034
CDS2	-0.904616844
ADAMTS6	-0.903549264
CNNM2	-0.903099016
PHIP	-0.90293592
ZHX3	-0.902932582
NIPAL3	-0.899639694
RARG	-0.898716664
KIFC3	-0.898686513
RMND5B	-0.897881401
BABAM1	-0.896949842
MAN2A1	-0.896791937
MPP3	-0.895499686
LTBP1	-0.893648019
SAMD4B	-0.892935022
RNF19B	-0.892380756
DNAJA4	-0.89205877
OSBP2	-0.891840438
GNA13	-0.888919532
BCL7B	-0.888837408
C11orf24	-0.888205559
PMEPA1	-0.886708458
KLHDC3	-0.886532574
C11orf84	-0.88620159
BTG3	-0.886190526
ARGLU1	-0.885140512
CACNB3	-0.88483023
ABTB2	-0.884191547
PHLDB2	-0.881094595
ZDHHC9	-0.880354817
URB1	-0.878656067
UBR5	-0.87745038
ARHGAP10	-0.876454934
GUK1	-0.87622966
POLE2	-0.874134502
TTF1	-0.874057272
MOCS2	-0.872967093
SGOL2	-0.872645048
LYN	-0.872397768
GMIP	-0.871811731
DDHD2	-0.871675903
XYLT2	-0.870877798
NCAPG2	-0.869050941
TXNDC11	-0.868042849
FAM122B	-0.867860553
ANAPC5	-0.866414385
GCNT2	-0.866045543
TAF1D	-0.865825692
DCBLD2	-0.863467469
LIN54	-0.862294404
NFIL3	-0.861616516
ME3	-0.859822342
SRRM2	-0.85881242
PTPRM	-0.858465616
PHRF1	-0.858059336
PPP6R1	-0.857527081
BACE1	-0.856303117
BRWD3	-0.856186304
DIAPH1	-0.855475127
ELF4	-0.855381364
PTPRG	-0.853897508
TTYH3	-0.85333336
CDK8	-0.85272807
UBE2J2	-0.852309899
NFIX	-0.849966961
CEP85	-0.849013247
ZNF76	-0.848882267
ZNF579	-0.847996907
KIAA1598	-0.845595666
HDAC7	-0.844478641
CASKIN2	-0.842544351
PRDM15	-0.842260537
LGR4	-0.839946019
CCNL1	-0.839372743
PPRC1	-0.83844818
WDR33	-0.83602769
ASNSD1	-0.833534657
PTPRB	-0.833102691
FBXL6	-0.829794945
KDM2B	-0.829329612
ITPR2	-0.828558766
CDC42BPB	-0.828380232
SHISA5	-0.827853137
ZNF592	-0.827163403
ITGB5	-0.826957495
TCTN3	-0.826229264
PPIA	-0.824728029
CMTR2	-0.824557994
SOX13	-0.82453256
BIN1	-0.823004475
CDR2L	-0.822833416
TM7SF3	-0.821234511
AKAP8	-0.820882028
SBF2	-0.819928024
VPS13D	-0.819280683
RFWD2	-0.817472911
STIM1	-0.817354981
ZNF142	-0.816264642
MTMR4	-0.814415773
MAPKAP1	-0.81269518
NPNT	-0.812596911
DOCK9	-0.812157138
DYRK3	-0.811413139
FANCM	-0.810966176
L3MBTL3	-0.810966176
C17orf62	-0.8105651
UGT8	-0.810064209
TCF7	-0.807813868
FAM73B	-0.807617445
MAP4K4	-0.806581152
LRIG3	-0.806325773
UST	-0.806290333
NR2F6	-0.804862144
CCNG2	-0.804144238
TUSC2	-0.803956346
MTF2	-0.803938148
ARSJ	-0.803857478
ITPRIP	-0.801609145
RBM34	-0.801275813
GDE1	-0.800750781
PTPRK	-0.800377986
NOL8	-0.799575284
UBE2F	-0.799224214
MPDZ	-0.798757414
PMS1	-0.798410721
PCDH7	-0.797614912
RABEP1	-0.797431269
CDKN2C	-0.79729821
AP3S1	-0.796658972
AADAT	-0.79547786
HECTD1	-0.793608531
NEURL4	-0.79318759
PTPN12	-0.791962872
MTCH1	-0.791694505
TRIP12	-0.791280756
TRMT44	-0.791185985
XRCC3	-0.790653465
PISD	-0.787381898
TMEM222	-0.787348973
AZIN1	-0.784032852
MAGI3	-0.782963021
RPS6KA5	-0.780387874
R3HDM1	-0.779988443
ILVBL	-0.779947318
TMEM126B	-0.779619915
PHTF2	-0.779589836
EDEM2	-0.778722059
MRC2	-0.778535208
GPATCH8	-0.776815107
GPATCH2L	-0.776570787
IQGAP3	-0.77561974
ESPL1	-0.775365628
FMNL2	-0.774586893
MIA3	-0.77431466
TCF3	-0.772822516
TMEM201	-0.772406087
PRPF39	-0.772077886
TYK2	-0.771360204
PPIP5K2	-0.771299326
SPPL3	-0.770518154
CDC27	-0.7700264
COL4A1	-0.769090374
PGS1	-0.76756285
DENND1A	-0.767158402
CREBBP	-0.764480145
PAQR4	-0.763896251
AGO2	-0.763368593
PPP2R3C	-0.763099304
GATA2	-0.762556723
BMP2	-0.760376981
LPIN2	-0.760355414
TTL	-0.759616904
UBE3B	-0.759541939
KIAA0922	-0.75889888
ZNF358	-0.758225994
BMP1	-0.758128786
MNT	-0.757366786
SNX11	-0.755158711
CENPJ	-0.754746511
ZNF462	-0.754729874
ATAD2B	-0.754634242
CRLF1	-0.754563067
RSPO3	-0.754007158
SORBS2	-0.753938673
TOP2B	-0.752253922
IQSEC1	-0.751981771
CEP192	-0.751538395
SMARCE1	-0.751107952
PGP	-0.750799475
ZNF800	-0.750394627
NADSYN1	-0.749507043
ZNF507	-0.748951324
ISOC1	-0.74763158
RMI1	-0.747524854
ARAP3	-0.747339409
GPBP1	-0.746830573
GALNT10	-0.740173961
PIP4K2B	-0.739373813
DIP2C	-0.736965594
PPP1R15A	-0.736965594
USF2	-0.736408999
MTF1	-0.736305171
TMEM160	-0.736077899
DMPK	-0.734826683
RALBP1	-0.732366137
IFNAR1	-0.731785355
RNF139	-0.731157375
BRD9	-0.731141091
ZBTB38	-0.728936877
PDXP	-0.727897406
PGAP1	-0.726920165
WDR24	-0.726745752
MAP2K7	-0.726169993
WDR34	-0.725244755
EPC2	-0.724973691
NFKB1	-0.724333108
KMT2C	-0.723331468
ADAMTS1	-0.722110209
NACC2	-0.721932779
CEP164	-0.721140627
MAP7D1	-0.721021569
CTBP2	-0.720835689
DCAF12	-0.71978047
MISP	-0.719082889
ARV1	-0.71888514
ERCC8	-0.717770423
TXNDC16	-0.717703692
AGO1	-0.717457061
NR1H2	-0.714113852
SLC25A39	-0.712620945
KDM1B	-0.712495736
FRYL	-0.712029963
NT5C3B	-0.711177058
UHRF1BP1	-0.710760524
TMEM19	-0.710493383
GET4	-0.71037768
ZNF740	-0.710191355
FBXO11	-0.709835883
SHPRH	-0.709641984
LRIG1	-0.708936237
SUCO	-0.708600703
ERCC2	-0.708419055
CDYL	-0.708205108
RAD54B	-0.707446507
BAZ1A	-0.707218251
SLC6A9	-0.706148847
NHP2	-0.70610754
GAMT	-0.705864377
SMPD2	-0.705453293
SOCS5	-0.705400279
SLC4A7	-0.704183475
DHX40	-0.703675727
RBM5	-0.699934661
ZDHHC4	-0.698557533
GLI2	-0.697620301
ERCC6L	-0.697604586
TRANK1	-0.697591356
TMEM184B	-0.697560127
RSAD1	-0.69652881
DCAF11	-0.695846607
CLPP	-0.695594367
SLC44A1	-0.695492234
CANT1	-0.694718987
FAM188A	-0.694707907
SNAPC4	-0.694490452
CAMSAP1	-0.694289677
NR2C1	-0.69419157
DOCK7	-0.692350694
LRIF1	-0.69211397
MYBL1	-0.691877705
ERG	-0.69177682
BCOR	-0.690931116
KDELC1	-0.687866825
ABHD12	-0.687853916
MGA	-0.686968543
LRIG2	-0.684575425
MID1	-0.684018836
CISD3	-0.683934892
TMEM99	-0.683677721
SFSWAP	-0.682900437
PAPPA	-0.682573297
NNT	-0.681766389
IFRD2	-0.681549581
FBXO18	-0.68062761
SCAP	-0.679988036
PXDN	-0.678402341
STX16	-0.677138136
CYB5R4	-0.676159337
ARHGAP35	-0.675861695
RTTN	-0.673691419
C11orf68	-0.672915039
STARD13	-0.671077659
SCAF1	-0.669140113
ZNF134	-0.669
UCK1	-0.668453903
LAMA4	-0.667728226
PPDPF	-0.66768975
TSC22D4	-0.666991141
PALB2	-0.666217991
BBS1	-0.66519656
ARHGEF11	-0.664263409
TNFAIP3	-0.664009997
MAPKAPK5	-0.663972194
ANKRD27	-0.662752898
DVL3	-0.662653238
ZMYM4	-0.661860937
FNBP4	-0.661184274
EEF1A1	-0.659547696
HDAC6	-0.659235263
WDR62	-0.658749808
ESYT2	-0.65821592
HMMR	-0.658042199
CYB561A3	-0.658025963
ABCB10	-0.657635151
LRRC8D	-0.657580031
ANKRD13D	-0.657452224
PCSK7	-0.656984635
DIDO1	-0.656636699
GRIK2	-0.656347134
N4BP2L2	-0.656132979
KDSR	-0.65442896
SUFU	-0.653940243
UBE3C	-0.653801377
ATAD2	-0.653711787
HIP1R	-0.652691591
TECPR2	-0.652601218
CCDC14	-0.652495658
SUN2	-0.652491681
ZNFX1	-0.651381366
PKN1	-0.651347541
RPL27A	-0.649442438
PARD3	-0.648856117
C1orf112	-0.647589015
BSCL2	-0.646658706
BCL7C	-0.646519947
AARS2	-0.645612033
SLC35B2	-0.644252299
HMGXB4	-0.643806484
NDUFAF6	-0.643359882
PACSIN3	-0.641892634
STXBP3	-0.640587495
TRAF5	-0.639736723
PCM1	-0.639238943
PHF10	-0.63773704
KLHL42	-0.637273539
TEP1	-0.636595269
SEZ6L2	-0.636153199
C19orf43	-0.633590611
NUDT22	-0.632196726
ATP11C	-0.631724092
NTN4	-0.630600582
ELF2	-0.629762111
PNPT1	-0.629709711
XPO6	-0.629206616
LONRF3	-0.627772729
PRPF38B	-0.626487798
NLGN2	-0.626087234
IMPA2	-0.625903996
SLC7A6	-0.62569817
MEPCE	-0.625320238
RAPGEF2	-0.625090613
PYCRL	-0.624197664
FANCA	-0.624151766
FAM102B	-0.622866675
PTPN23	-0.622312016
KDM4C	-0.622051819
OSGIN1	-0.620975479
RPLP1	-0.620897519
HAUS3	-0.61974697
CCNY	-0.619133928
TRMT1	-0.617288647
ITGA1	-0.617117739
NOTCH2	-0.615742847
LARP7	-0.614839542
IRF2BP2	-0.613721494
LRRC8A	-0.612570884
HUWE1	-0.612564572
GTF3C5	-0.6117612
PLEKHM1	-0.611323087
PAXBP1	-0.610891903
ACSL3	-0.610824564
TMEM246	-0.610778793
ZFAND1	-0.610188477
MORC4	-0.609145015
LRBA	-0.608830763
EIF4G1	-0.60870641
SH3PXD2A	-0.608463935
KLF2	-0.607379967
MAPK6	-0.606927832
MCCC1	-0.6068109
PPFIA1	-0.606687885
NAV1	-0.606616867
HDAC4	-0.60616286
ATP2C1	-0.605329305
ICMT	-0.604725756
GANC	-0.603027216
CCBL1	-0.603018995
SLC16A6	-0.602596175
SNTA1	-0.602269081
DROSHA	-0.601845836
CTBP1	-0.601376573
NIPA2	-0.600249847
TYW3	-0.599497484
ANKS3	-0.59943091
DPH7	-0.599106683
HPS5	-0.598259323
JADE2	-0.59672945
USP25	-0.594733585
PAX6	-0.593555111
SIK2	-0.593486573
WDR11	-0.592876372
KIAA0753	-0.592785267
TDRD9	-0.592069387
ZNF787	-0.592028776
TGFB1	-0.591795788
FAM102A	-0.591194454
TCEB3	-0.590332816
PRDM10	-0.590161407
LRP8	-0.5879909
PNISR	-0.587853095
ACAD9	-0.586466405
DCAF5	-0.586343731
LLGL1	-0.58578855
USP20	-0.584962501
GMCL1	-0.584962501
MOV10	-0.5846647
USP38	-0.583025997
KLHL26	-0.582599363
SH3RF1	-0.581416923
TMUB2	-0.580498253
PPP2R5C	-0.579909273
RNF149	-0.579600083
FADS3	-0.579311514
ASAP1	-0.576240701
TTC37	-0.575718128
PRPF8	-0.575670898
RICTOR	-0.575264597
MTMR10	-0.575247346
AP5M1	-0.574236094
HOMEZ	-0.573991383
METTL22	-0.573009698
IFT52	-0.572962945
GNPTG	-0.572196518
LRRC16A	-0.571868928
PIK3C3	-0.571665678
TMEM173	-0.571541985
DPY19L1	-0.571434927
TCHP	-0.570858346
NUP210	-0.570748642
RHOBTB3	-0.570731219
TARBP1	-0.568954625
MRPS15	-0.568636402
ZNF408	-0.568063976
MKNK2	-0.568036585
PPP2CB	-0.56780622
TLR4	-0.567684509
TPR	-0.567608471
TP53BP2	-0.566847706
HNRNPLL	-0.566824863
UHRF2	-0.56667438
SESN2	-0.566560529
RFX7	-0.563286604
PIK3CB	-0.56290135
TAF1	-0.562594688
NUMBL	-0.562172785
ITPKC	-0.560650435
UNK	-0.559971822
KHNYN	-0.558409082
IFNGR2	-0.558124455
CEP95	-0.556861965
ARAP1	-0.556490701
ACO2	-0.556440201
TMEM184C	-0.556026612
BRPF1	-0.555200886
SUN1	-0.555065359
METTL13	-0.554226463
EEFSEC	-0.55416017
FAM160A1	-0.553642738
SCAF4	-0.553492162
LSM10	-0.552156356
CHPT1	-0.552061404
CLCN5	-0.551409941
PHF20L1	-0.549312888
PCSK9	-0.548878209
AGPAT6	-0.547787028
ZKSCAN5	-0.547487795
CDC7	-0.547388535
DYM	-0.545934701
TLE3	-0.544940983
RAB11FIP5	-0.544521575
NR4A1	-0.544222136
PLCG1	-0.542700969
ZBTB41	-0.542555162
ARRB2	-0.542215607
SPAST	-0.541335568
POLL	-0.541064636
MBTD1	-0.540981307
PEX26	-0.540568381
GALNT1	-0.540275347
TMEM65	-0.53839401
TAOK3	-0.538139847
PAM	-0.538043853
MTMR12	-0.537717247
PSD3	-0.537501147
NCOA6	-0.537181981
FAM178A	-0.537115741
MSL2	-0.536361862
NDOR1	-0.536293209
SLC26A6	-0.53562764
PTPRA	-0.535319927
PLEKHG2	-0.534513478
MDM4	-0.533123569
NELL2	-0.532495081
NBR1	-0.53206546
CRTC3	-0.53181793
CEP120	-0.53129879
RPS6KA4	-0.531102552
COASY	-0.530864758
CNOT1	-0.53078791
CHD4	-0.530572142
ARID1B	-0.530514717
SLC38A7	-0.529846028
GPAA1	-0.528233131
DNAJC25	-0.527813672
SON	-0.527462685
CREB3	-0.526779582
SP2	-0.525913273
ALS2	-0.525723297
GPATCH1	-0.523806005
POGK	-0.523783362
RALGAPB	-0.52368616
ITGB1BP1	-0.52322382
TNPO2	-0.521471278
ADAR	-0.520907304
EIF2AK4	-0.520311617
CPSF1	-0.520122568
INTS2	-0.518979387
IGF1R	-0.518708588
ABCB6	-0.518505186
ARHGAP5	-0.51532282
TMEM101	-0.514911635
COA3	-0.514124442
PLA2R1	-0.512648296
SLC35B4	-0.512432358
PPARGC1A	-0.512061954
DHRS7B	-0.511899039
RGS19	-0.510697852
CEP128	-0.510153913
ODC1	-0.508442647
DCAF15	-0.507706069
ZBTB40	-0.50707539
C9orf156	-0.506214712
SMCHD1	-0.505988669
SUPT20H	-0.505703247
SCARA3	-0.503841684
ATXN7L3	-0.501798811
PHYKPL	-0.501774821
CDK17	-0.500594395
C10orf2	-0.500410992
CHSY3	-0.500154113
SIVA1	-0.497180255
PASK	-0.497172035
SLC35B1	-0.496710183
ARHGEF39	-0.496606626
IRX3	-0.496265155
PHF12	-0.495389701
PNPLA8	-0.494298154
TSC2	-0.493826007
CEP170	-0.49336586
RPRD2	-0.493017029
RHOT2	-0.492142906
SAPCD2	-0.491679036
MICALL1	-0.490384547
MCTP1	-0.49036475
SLCO3A1	-0.4896763
NBAS	-0.4885718
METTL9	-0.485942628
MBOAT2	-0.484667714
PIK3C2A	-0.484422204
C2CD2	-0.484330138
ZNF292	-0.483972131
CWF19L2	-0.483876376
PIGN	-0.483759935
FAM20B	-0.483432547
SLC1A1	-0.483022112
PEMT	-0.482810763
TFE3	-0.482371348
UPP1	-0.48216975
NCAPD3	-0.481227779
ZYG11B	-0.480252781
SPECC1	-0.478671502
RNF44	-0.477975185
MANBA	-0.477509662
IGFBP7	-0.477358199
CDC42EP4	-0.476403523
SYDE1	-0.473196057
AGO3	-0.4723047
VPS13C	-0.472199668
TTLL7	-0.471704592
ERF	-0.470970391
GPSM2	-0.470370792
TYW5	-0.468566896
UROS	-0.468223434
EXOC1	-0.467877823
ZNF672	-0.467671387
SYTL5	-0.467293736
CDK10	-0.466887424
EXO1	-0.466586338
MPP2	-0.465867444
HTT	-0.465771893
CKAP4	-0.465068377
ELK1	-0.46457696
SLC7A5	-0.464386449
AP1M2	-0.464232292
C1orf109	-0.463782614
C17orf70	-0.463385084
CERK	-0.46317402
SNX18	-0.462575888
FZD6	-0.461746443
PLA2G15	-0.461534162
TOP3A	-0.461263613
CC2D2A	-0.461049897
ING2	-0.460204856
MLLT1	-0.458170857
MED1	-0.458136145
OTUD5	-0.45778163
NAGLU	-0.45755883
FAM208A	-0.456933112
NECAB3	-0.456525887
USP32	-0.456415741
C10orf137	-0.4544381
ZBTB17	-0.454141516
PHKA1	-0.452921438
PPP4R1	-0.452644419
EXO5	-0.452006759
MPHOSPH8	-0.451402012
B3GNT1	-0.450694325
ARID4B	-0.450289286
CTDSP1	-0.449943527
MAPKAPK2	-0.449824291
GOLGA1	-0.449802917
NR1D1	-0.448623536
WNK1	-0.448478009
ZGPAT	-0.44792304
SMARCD1	-0.447109275
JPH1	-0.44692156
FAM120A	-0.44615505
EXOSC4	-0.445026914
SRPR	-0.444820239
APH1A	-0.443624816
AKAP12	-0.443243247
MFSD3	-0.442044755
GPHN	-0.440996726
HCFC1	-0.43766135
VEZT	-0.43640094
RPTOR	-0.436032241
SMAD3	-0.435928528
RBM12B	-0.435827884
SEMA4B	-0.435626081
USP9X	-0.43497759
ANKH	-0.433965213
C9orf142	-0.433567528
MLLT3	-0.433447299
IQGAP2	-0.433083569
AP5Z1	-0.432835042
TCF25	-0.430760265
MELK	-0.430526157
CCDC80	-0.430152722
SRM	-0.427138353
NF1	-0.426114294
CUL7	-0.421861698
CEP63	-0.421598656
AASDH	-0.421580345
OTUD4	-0.421521533
MAN2C1	-0.421403717
DHTKD1	-0.421362345
INPP5A	-0.420973414
GCDH	-0.420914066
HSPBAP1	-0.420890226
TMEM189	-0.420888068
SLC35G2	-0.420830957
GUSB	-0.420823165
KLF13	-0.420813759
DAP	-0.42070709
SUMO3	-0.420695183
ANKFY1	-0.420664358
ABHD4	-0.420653291
ADORA2B	-0.420590731
SIAH2	-0.42031812
MYSM1	-0.42013923
FBXO10	-0.419421642
POLR2E	-0.414633666
HTRA3	-0.411367685
KIAA1468	-0.410134858
KBTBD2	-0.409891575
ZCCHC6	-0.408951157
CSNK1G3	-0.408866475
SCYL2	-0.406372638
EPAS1	-0.405514725
MAN2B1	-0.404471623
DOCK5	-0.404282719
UVRAG	-0.403321196
TAOK2	-0.403253919
STAG1	-0.401921999
MRS2	-0.400716603
ZNF12	-0.400678345
ANKRD50	-0.399499664
IKBIP	-0.39933785
ITGAE	-0.398127721
PI4K2B	-0.397199644
HDGFRP3	-0.394820616
CD276	-0.394598248
AGPAT2	-0.393653109
ANKRD32	-0.392884037
SMG7	-0.392614326
KIAA0556	-0.392062011
CDK13	-0.389721686
LMO4	-0.38865206
ZC3H12C	-0.387219555
RSPRY1	-0.385891154
DLG3	-0.38541233
STK16	-0.385235397
MAP3K5	-0.38520227
GCN1L1	-0.384835965
NABP1	-0.384315559
CIZ1	-0.383342761
DPP9	-0.383225306
BSDC1	-0.382413224
MTFR2	-0.379816639
TADA1	-0.379752943
KIAA1522	-0.379658761
ALG9	-0.378974594
ASB13	-0.378607043
PSMG1	-0.378300022
6-Mar	-0.378218199
EME1	-0.377681136
NELFB	-0.376527983
OSGIN2	-0.376222346
UBR4	-0.376160846
UBE3A	-0.375478744
CCDC34	-0.373880175
NRIP1	-0.373655292
ESF1	-0.373638989
ACSL1	-0.373458396
TRAPPC8	-0.373436595
TTC19	-0.373264999
LETM1	-0.372477037
IARS2	-0.372231122
MSL1	-0.370856511
CYFIP1	-0.37037926
LOXL2	-0.370071413
IDS	-0.368975717
ANKRD28	-0.368424856
TJP1	-0.367750619
MMP2	-0.3674494
WDR47	-0.367177861
ZMYM2	-0.365072587
DDX54	-0.363640267
SKA3	-0.363421981
BTBD3	-0.363009309
COL4A6	-0.362570079
POLB	-0.361747797
GIT2	-0.360694013
CHST3	-0.359611418
TBC1D9	-0.359460151
MRI1	-0.359136165
NCOA3	-0.359005667
PHF19	-0.357679409
POLR2F	-0.357108897
AZI2	-0.356058421
CD47	-0.355570939
STAT6	-0.354461303
RBM14	-0.354248271
TRABD	-0.353009729
POLR3H	-0.352940385
ATP2B1	-0.352634596
ATP6V0A2	-0.349478383
L1CAM	-0.349110391
TRMT2A	-0.348743249
ARHGEF18	-0.348405214
PDE3A	-0.348396292
AP2M1	-0.347244621
RAB4A	-0.3472363
TBP	-0.346871393
SMYD4	-0.346500137
RPL4	-0.346487522
SCFD1	-0.346412406
TAB3	-0.345967106
KDM5C	-0.345487004
CARS2	-0.344844532
TBC1D14	-0.344503895
PELP1	-0.344256469
RNF7	-0.344160118
NAGPA	-0.344084509
ZNF544	-0.342692457
SLC5A6	-0.342645537
GRAMD1A	-0.342434975
EP300	-0.341865398
ANAPC2	-0.341814162
PAPD7	-0.341301068
RFC1	-0.340259918
PM20D2	-0.340244718
ASCC2	-0.340088781
MTOR	-0.337790919
C16orf59	-0.336709139
SGMS1	-0.336505404
TMEM164	-0.335703474
VEZF1	-0.334750434
CYC1	-0.334213666
BAHD1	-0.333976485
CHD8	-0.332895094
LAMB1	-0.33281084
TNFRSF1A	-0.332678829
ADAM15	-0.331554417
NACC1	-0.329788808
C10orf118	-0.329064276
NOP2	-0.328966825
LEMD2	-0.327006735
ACAP3	-0.326656696
LRP12	-0.326432834
FUT8	-0.324715912
GSE1	-0.323993937
ZBTB2	-0.323315376
PTPMT1	-0.322321951
TRMT13	-0.322180513
DNMT3A	-0.321532239
CPSF4	-0.321222448
HJURP	-0.319672655
CHST12	-0.319467493
IER2	-0.318882704
BAZ2A	-0.318881219
RAB11FIP2	-0.318564732
DALRD3	-0.318329126
FAM57A	-0.317036845
SPG11	-0.315341802
PRIMPOL	-0.315041709
RNF6	-0.314364801
ZNF609	-0.313929192
ZMIZ1	-0.313119637
ESYT1	-0.311879012
PHF20	-0.310990863
TMBIM1	-0.309941733
PTAR1	-0.309076774
RHBDF1	-0.308657023
SFMBT1	-0.308257626
MZT2A	-0.307540791
UNC13D	-0.306606189
SEC14L1	-0.306238113
GBF1	-0.306095143
TPBG	-0.305961346
ADNP	-0.305734506
COL8A1	-0.305443527
GTF3C6	-0.305046
ANO10	-0.304246491
BRAT1	-0.304043217
KANSL3	-0.303434955
ARMCX2	-0.303194785
IMMT	-0.302643163
HIATL1	-0.301138374
MAP7	-0.30049993
DNAJC10	-0.300441317
BUB1	-0.300218296
ALG8	-0.300109528
NCLN	-0.300052026
BBX	-0.299832531
HOMER3	-0.299683458
THBS3	-0.299657548
HEG1	-0.299560282
PDGFRL	-0.299560282
AFF4	-0.299496467
BRMS1L	-0.299474323
SYNJ2	-0.298316288
VPS39	-0.297210524
CCDC41	-0.296888624
MECR	-0.29644767
MED24	-0.296438773
AP3M1	-0.295762351
FASTKD1	-0.295172641
PAN2	-0.294698841
KIAA2013	-0.294666015
GLTSCR2	-0.294545928
ZBTB21	-0.292180751
B3GALNT1	-0.292081286
C17orf80	-0.291302131
TBC1D20	-0.289506617
FBXL18	-0.289321097
GPC5	-0.289215458
CARM1	-0.28890383
DNMT1	-0.28820213
AMFR	-0.287962103
MAN1A1	-0.287389676
SLC5A3	-0.287363735
DOCK1	-0.286805446
CAMKK2	-0.286502253
CYB561	-0.286356111
AHI1	-0.286131101
ULK3	-0.285646819
ZFR	-0.285366706
MUT	-0.285098142
COL4A4	-0.283199468
FAM204A	-0.283150466
JARID2	-0.28252431
SLC19A2	-0.281992564
ZNF618	-0.281975969
SNRNP70	-0.281533818
R3HCC1L	-0.281363777
SPIN1	-0.281043183
SLC2A13	-0.281020151
THBS1	-0.280863983
STX2	-0.280598949
EPN2	-0.280184997
PINK1	-0.280088261
EIF2AK1	-0.27933681
KIAA0368	-0.278767332
GALT	-0.278614417
TMEM41A	-0.278368776
SH3BP4	-0.277893231
MET	-0.277513499
PTK7	-0.277089277
WAC	-0.276067077
ADNP2	-0.275414528
ACTR10	-0.275115525
CDK5RAP3	-0.275071264
ACAD11	-0.273941014
ZNF146	-0.272672178
TSKU	-0.271749265
TAF4	-0.270089163
TTC28	-0.269874151
DSP	-0.269460675
CPE	-0.268740524
GTF3C1	-0.268209028
VPS51	-0.267836507
AKT1	-0.266359953
BOD1	-0.265463547
CDK14	-0.264492977
IFRD1	-0.263798891
DDX31	-0.263747024
GALNS	-0.263516187
CDCA2	-0.263034406
TINF2	-0.262839855
JADE3	-0.262650251
BARD1	-0.262158984
EYA4	-0.261811265
NUP153	-0.261557071
PPAP2C	-0.261386553
SLMAP	-0.261212397
C20orf24	-0.260864294
CEP152	-0.259540083
SLC16A14	-0.259441141
CTIF	-0.255578601
PCF11	-0.255257055
PPIL3	-0.25450171
CADPS2	-0.254497724
ARPC1A	-0.254321688
C12orf4	-0.252534132
DEPDC1B	-0.251819329
PTK2	-0.251117953
TMEM38B	-0.250956254
PCBP4	-0.250841798
SLC27A4	-0.250803557
NCK1	-0.250687918
MKL1	-0.250660146
INTS10	-0.250301986
DHX29	-0.249119659
PCID2	-0.2485696
SLC12A2	-0.248513413
WDR6	-0.24795443
UBE2R2	-0.246406984
FBXL3	-0.24597277
PCCA	-0.245619543
LARS2	-0.245582237
OGFOD2	-0.245193582
FAM53B	-0.244992428
CHD1L	-0.244938356
SDHA	-0.244058569
PNPLA2	-0.243557031
ABCA7	-0.242229791
ERAL1	-0.242021228
MYOF	-0.240922085
ACTN4	-0.240703289
ARHGEF1	-0.240668032
POT1	-0.240582568
SLC20A1	-0.239664667
ZZZ3	-0.239518481
DERL2	-0.238595646
KIAA0141	-0.238311976
ATP9B	-0.238040026
PPWD1	-0.237328692
TMEM57	-0.237039197
CCDC71	-0.236817761
KIAA0907	-0.236246725
FAM53C	-0.236208391
AQR	-0.236013241
KCMF1	-0.235315971
CNOT11	-0.229798076
SLC2A4RG	-0.229506114
LSM14A	-0.229143647
PIGT	-0.229102019
MARCKS	-0.229075702
NPAS2	-0.228941207
URB2	-0.228624375
EPHA5	-0.22760931
CEPT1	-0.226174584
MPST	-0.225982262
POGZ	-0.224899277
TIMM21	-0.224115171
STS	-0.222736453
ACACA	-0.222392421
SNRNP200	-0.220014122
SYNC	-0.219610673
EPHB2	-0.21868128
ARHGAP39	-0.218062168
SLC45A4	-0.218000652
PKN2	-0.217635757
KIF3B	-0.217564975
ZCRB1	-0.216994939
PDS5B	-0.216406126
PNN	-0.216097674
SPATS2L	-0.216070568
POLR3B	-0.215908388
PITRM1	-0.215321318
ATP2A2	-0.215074514
FAM3A	-0.21321431
R3HDM4	-0.213193484
TCF12	-0.213033734
TGFBRAP1	-0.212625101
ACOT7	-0.211779168
SH3D19	-0.211722315
HBP1	-0.211504105
USP24	-0.210921391
RNF31	-0.210027156
BORA	-0.209852125
LMF2	-0.209323819
DHX9	-0.208617126
JMJD8	-0.20836343
EPHB4	-0.208307479
ARPC2	-0.207921673
JAGN1	-0.207423201
ACOT8	-0.206970362
TP53RK	-0.206631485
DDHD1	-0.206149342
ERBB2IP	-0.205974662
MYH10	-0.204309392
TPGS1	-0.203561187
SLC11A2	-0.203306351
TMEM106C	-0.20324791
TJP2	-0.203091865
JOSD1	-0.202786548
PRPF38A	-0.20240066
OGFOD3	-0.202094746
NUBP1	-0.201016017
AKAP11	-0.200729133
OPTN	-0.200657121
INTS5	-0.199752568
PTPLB	-0.198445041
SLC12A9	-0.198148831
LPCAT2	-0.198141691
SIPA1	-0.19737498
MRPL37	-0.197132192
SLC39A13	-0.196610456
POLR1A	-0.195667429
LSS	-0.195604378
TREX1	-0.19493357
NOM1	-0.194922818
PAXIP1	-0.194031618
GATAD1	-0.193518644
EDC4	-0.193451237
DHX32	-0.19281416
XRCC2	-0.192511687
ACSF2	-0.192342468
SAMD11	-0.192277746
KNTC1	-0.192109854
